REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3036 CSCF551 KAP1824 536 F2009S03 306,81 140,93 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3037 CSCN7827 KAP2173 535 F2009S03 333,08 132,33 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3038 CSCN7356 KAP2128 535 F2009S03 368,04 161,11 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3044 1752 QUI2668 532 F2009S03 288,44 111,94 0,00 0,00 0,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3045 SIQ815 KAP2488 532 F2009S03 342,20 176,79 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3046 1752 QUI2668 531 F2009S03 381,17 184,15 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3051 7700 KAP617 530 F2009S03 324,81 136,69 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3052 7700 KAP2273 530 F2009S03 335,19 155,51 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3053 CSCF551 KAP1514 529 F2009S03 337,90 142,45 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3056 CSCF551 KAP602 528 F2009S03 366,67 150,67 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3064 BRUMA0376 KAP2217 527 F2009S03 362,14 164,19 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3066 CSCN7356 KAP2317 525 F2009S03 330,00 133,83 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
